product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Spirulina Natural Colorant Empty Vegetarian Capsules,820.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-vegetarian-capsules-size-0-blue-blue-free-tio2
Vegetarian Capsules,826.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-empty-vegetarian-capsules-size-1-box-of-125-000
Clear Separated Capsules,19.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-separated-size-0-clear-gelatin-empty-capsules
Gelatin Capsules for Pets,1500.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/petcaps-trade-chicken-flavored-size-1
Colored Empty Vegetarian Capsules,749.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/titanium-dioxide-tio2-free-colored-empty-vegetarian-capsules-size-0-box-of-100-000
Vegetarian Acid Resistant Enteric Empty Capsules,NONE,Capsuline,"{""moisture_content"": ""4% to 10%"", ""expiration_date"": ""2.5 years"", ""temperature_limits"": ""59ºF (15ºC) to 77ºF (25ºC)"", ""humidity_limits"": ""50% to 70%"", ""microbial_quality"": {""total_aerobic_microbial_count"": ""NMT 1000 CFU / g"", ""salmonella_species"": ""Absence /10 g"", ""escherichia_coli"": ""Absence /1 g"", ""pseudomonas_aeruginosa"": ""Absence /1 g"", ""staphylococcus_aureus"": ""Absence /1 g"", ""total_combined_yeast_and_molds_count"": ""NMT 100 CFU /g""}, ""capsule_weights"": {""00E"": ""143.0 ± 5 mg"", ""00"": ""136.0 ± 7 mg"", ""0E"": ""119.0 ± 6 mg"", ""0"": ""105.0 ± 6 mg"", ""1"": ""79.0 ± 5 mg"", ""2"": ""63.0 ± 4 mg"", ""3"": ""50.0 ± 3 mg"", ""4"": ""40.0 ± 3 mg""}, ""capsule_dimensions"": {""00E"": {""length"": ""13.00 ± 0.35 mm"", ""body_length"": ""22.35 ± 0.35 mm""}, ""00"": {""length"": ""11.80 ± 0.35 mm"", ""body_length"": ""20.10 ± 0.35 mm""}, ""0E"": {""length"": ""11.73 ± 0.35 mm"", ""body_length"": ""20.19 ± 0.35 mm""}, ""0"": {""length"": ""10.85 ± 0.35 mm"", ""body_length"": ""18.35 ± 0.35 mm""}, ""1"": {""length"": ""9.85 ± 0.35 mm"", ""body_length"": ""16.40 ± 0.35 mm""}, ""2"": {""length"": ""8.80 ± 0.35 mm"", ""body_length"": ""15.15 ± 0.35 mm""}, ""3"": {""length"": ""8.00 ± 0.35 mm"", ""body_length"": ""13.45 ± 0.35 mm""}, ""4"": {""length"": ""7.20 ± 0.35 mm"", ""body_length"": ""12.10 ± 0.35 mm""}}}","[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/vegetarian-acid-resistant-enteric-empty-capsules-size-0-box-of-125-000
Pullulan Vegetarian Capsules,19.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-vegetarian-pullulan-capsules-size-00-p
Chicken Flavored Empty Capsules,9.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-petcaps-chicken-flavored-gelatin-empty-capsules-size-3
Vegetarian Capsules,1139.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-vegetarian-capsules-size-2-box-of-175-000
Empty Gelatin Capsules,11.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-size-00-empty-gelatin-capsules-by-capsuline
